idx,id,step1,step2,step3,step4,reactant_1,product_1,reactant_2,product_2,reactant_3,product_3,reactant_4,product_4,steplength,bbsRxnID,step1_smirks,step2_smirks,step3_smirks,step4_smirks,smarts1,bbsRxnID_1,simplesmarts1,smarts2,bbsRxnID_2,simplesmarts2,smarts3,bbsRxnID_3,simplesmarts3,smarts4,bbsRxnID_4,simplesmarts4,combo_simple_smarts,combo_smarts,simple_smarts_merge,combo_simple_smarts_count
1,1560754,add_rxn_26364,add_rxn_22735,norxn,norxn,tyr__L,C01468,C01468,C00642,nomet,nomet,nomet,nomet,2,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Cc1ccc(O)cc1,Cc1ccc(O)cc1>>O=C(O)Cc1ccc(O)cc1,,,[C:1](-[c:2])-[C:12](-[C:10](=[O:9])-[O&H1:11])-[N&H2:13]>>[C:1]-[c:2],103979,C(-c)-C(-C(=O)-[O&H1])-[N&H2]>>C-c,[c:5]-[C:8]>>[c:5]-[C:8]-[C:10](=[O:9])-[O&H1:11],9793,c-C>>c-C-C(=O)-[O&H1],,,,,,,C(-c)-C(-C(=O)-[O&H1])-[N&H2]>>C-c$$c-C>>c-C-C(=O)-[O&H1],[C:1](-[c:2])-[C:12](-[C:10](=[O:9])-[O&H1:11])-[N&H2:13]>>[C:1]-[c:2]$$[c:5]-[C:8]>>[c:5]-[C:8]-[C:10](=[O:9])-[O&H1:11],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,1
1,1560735,add_rxn_42983,add_rxn_10879,add_rxn_16392,add_rxn_kegg_R06893,tyr__L,C00146,C00146,C00156,C00156,C00530,C00530,C00642,4,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1>>Oc1ccc(O)cc1,Oc1ccc(O)cc1>>O=C(O)Cc1ccc(O)cc1,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10],149779,[c&H1]>>c-C(=O)-[O&H1],[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2],174538,[O&H1]-C(-c)=O>>[O&H1]-c,[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],151071,c-[O&H1]>>c-C-C(-[O&H1])=O,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[c&H1]>>c-C(=O)-[O&H1]$$[O&H1]-C(-c)=O>>[O&H1]-c$$c-[O&H1]>>c-C-C(-[O&H1])=O,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10]$$[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2]$$[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,1
2,1560719,add_rxn_21707,add_rxn_10879,add_rxn_16388,add_rxn_47387,tyr__L,C00146,C00146,C00156,C00156,C00530,C00530,C00642,4,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1>>Oc1ccc(O)cc1,Oc1ccc(O)cc1>>O=C(O)Cc1ccc(O)cc1,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10],149779,[c&H1]>>c-C(=O)-[O&H1],[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2],174538,[O&H1]-C(-c)=O>>[O&H1]-c,[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],151071,c-[O&H1]>>c-C-C(-[O&H1])=O,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[c&H1]>>c-C(=O)-[O&H1]$$[O&H1]-C(-c)=O>>[O&H1]-c$$c-[O&H1]>>c-C-C(-[O&H1])=O,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10]$$[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2]$$[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,1
3,1560715,add_rxn_21707,add_rxn_10879,add_rxn_16392,add_rxn_47387,tyr__L,C00146,C00146,C00156,C00156,C00530,C00530,C00642,4,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1>>Oc1ccc(O)cc1,Oc1ccc(O)cc1>>O=C(O)Cc1ccc(O)cc1,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10],149779,[c&H1]>>c-C(=O)-[O&H1],[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2],174538,[O&H1]-C(-c)=O>>[O&H1]-c,[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],151071,c-[O&H1]>>c-C-C(-[O&H1])=O,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[c&H1]>>c-C(=O)-[O&H1]$$[O&H1]-C(-c)=O>>[O&H1]-c$$c-[O&H1]>>c-C-C(-[O&H1])=O,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10]$$[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2]$$[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,1
4,1560737,add_rxn_42983,add_rxn_10879,add_rxn_16388,add_rxn_47387,tyr__L,C00146,C00146,C00156,C00156,C00530,C00530,C00642,4,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1>>Oc1ccc(O)cc1,Oc1ccc(O)cc1>>O=C(O)Cc1ccc(O)cc1,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10],149779,[c&H1]>>c-C(=O)-[O&H1],[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2],174538,[O&H1]-C(-c)=O>>[O&H1]-c,[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],151071,c-[O&H1]>>c-C-C(-[O&H1])=O,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[c&H1]>>c-C(=O)-[O&H1]$$[O&H1]-C(-c)=O>>[O&H1]-c$$c-[O&H1]>>c-C-C(-[O&H1])=O,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10]$$[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2]$$[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,1
5,1560740,add_rxn_42983,add_rxn_10879,add_rxn_16388,add_rxn_kegg_R06893,tyr__L,C00146,C00146,C00156,C00156,C00530,C00530,C00642,4,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1>>Oc1ccc(O)cc1,Oc1ccc(O)cc1>>O=C(O)Cc1ccc(O)cc1,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10],149779,[c&H1]>>c-C(=O)-[O&H1],[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2],174538,[O&H1]-C(-c)=O>>[O&H1]-c,[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],151071,c-[O&H1]>>c-C-C(-[O&H1])=O,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[c&H1]>>c-C(=O)-[O&H1]$$[O&H1]-C(-c)=O>>[O&H1]-c$$c-[O&H1]>>c-C-C(-[O&H1])=O,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10]$$[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2]$$[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,1
6,1560718,add_rxn_21707,add_rxn_10879,add_rxn_16388,add_rxn_kegg_R06893,tyr__L,C00146,C00146,C00156,C00156,C00530,C00530,C00642,4,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1>>Oc1ccc(O)cc1,Oc1ccc(O)cc1>>O=C(O)Cc1ccc(O)cc1,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10],149779,[c&H1]>>c-C(=O)-[O&H1],[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2],174538,[O&H1]-C(-c)=O>>[O&H1]-c,[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],151071,c-[O&H1]>>c-C-C(-[O&H1])=O,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[c&H1]>>c-C(=O)-[O&H1]$$[O&H1]-C(-c)=O>>[O&H1]-c$$c-[O&H1]>>c-C-C(-[O&H1])=O,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10]$$[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2]$$[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,1
7,1560738,add_rxn_42983,add_rxn_10879,add_rxn_16392,add_rxn_47387,tyr__L,C00146,C00146,C00156,C00156,C00530,C00530,C00642,4,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>O=C(O)c1ccc(O)cc1,O=C(O)c1ccc(O)cc1>>Oc1ccc(O)cc1,Oc1ccc(O)cc1>>O=C(O)Cc1ccc(O)cc1,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10],149779,[c&H1]>>c-C(=O)-[O&H1],[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2],174538,[O&H1]-C(-c)=O>>[O&H1]-c,[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],151071,c-[O&H1]>>c-C-C(-[O&H1])=O,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[c&H1]>>c-C(=O)-[O&H1]$$[O&H1]-C(-c)=O>>[O&H1]-c$$c-[O&H1]>>c-C-C(-[O&H1])=O,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[c&H1:5]>>[c:5]-[C:9](=[O:8])-[O&H1:10]$$[O&H1:1]-[C:10](-[c:2])=[O:9]>>[O&H1:1]-[c:2]$$[c:5]-[O&H1:6]>>[c:5]-[C:11]-[C:10](-[O&H1:6])=[O:9],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,1
1,1560725,add_rxn_42983,add_rxn_kegg_R01241,add_rxn_kegg_R06790,norxn,tyr__L,C00146,C00146,C00548,C00548,C00642,nomet,nomet,3,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>CC(=O)Oc1ccccc1,CC(=O)Oc1ccccc1>>O=C(O)Cc1ccc(O)cc1,,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[O&H1:1]-[c:2]>>[O:1](-[c:2])-[C:9](=[O:8])-[C:10],149559,[O&H1]-c>>O(-c)-C(=O)-C,[O:1]=[C:2](-[O:3]-[c:4])-[C:10].[c&H1:7]>>[O:1]=[C:2](-[C:10]-[c:7])-[O&H1:11].[c:4]-[O&H1:3],61740,O=C(-O-c)-C.[c&H1]>>O=C(-C-c)-[O&H1].c-[O&H1],,,,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[O&H1]-c>>O(-c)-C(=O)-C$$O=C(-O-c)-C.[c&H1]>>O=C(-C-c)-[O&H1].c-[O&H1],[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[O&H1:1]-[c:2]>>[O:1](-[c:2])-[C:9](=[O:8])-[C:10]$$[O:1]=[C:2](-[O:3]-[c:4])-[C:10].[c&H1:7]>>[O:1]=[C:2](-[C:10]-[c:7])-[O&H1:11].[c:4]-[O&H1:3],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,2
2,1560717,add_rxn_21707,add_rxn_17264,add_rxn_kegg_R06790,norxn,tyr__L,C00146,C00146,C00548,C00548,C00642,nomet,nomet,3,104537,NC(Cc1ccc(O)cc1)C(=O)O>>Oc1ccccc1,Oc1ccccc1>>CC(=O)Oc1ccccc1,CC(=O)Oc1ccccc1>>O=C(O)Cc1ccc(O)cc1,,[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1],104401,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1],[O&H1:1]-[c:2]>>[O:1](-[c:2])-[C:9](=[O:8])-[C:10],149559,[O&H1]-c>>O(-c)-C(=O)-C,[O:1]=[C:2](-[O:3]-[c:4])-[C:10].[c&H1:7]>>[O:1]=[C:2](-[C:10]-[c:7])-[O&H1:11].[c:4]-[O&H1:3],61740,O=C(-O-c)-C.[c&H1]>>O=C(-C-c)-[O&H1].c-[O&H1],,,,c-C-C(-C(=O)-[O&H1])-[N&H2]>>[c&H1]$$[O&H1]-c>>O(-c)-C(=O)-C$$O=C(-O-c)-C.[c&H1]>>O=C(-C-c)-[O&H1].c-[O&H1],[c:1]-[C:13]-[C:11](-[C:9](=[O:8])-[O&H1:10])-[N&H2:12]>>[c&H1:1]$$[O&H1:1]-[c:2]>>[O:1](-[c:2])-[C:9](=[O:8])-[C:10]$$[O:1]=[C:2](-[O:3]-[c:4])-[C:10].[c&H1:7]>>[O:1]=[C:2](-[C:10]-[c:7])-[O&H1:11].[c:4]-[O&H1:3],O=C(-[O&H1])-C(-C)-[N&H2]>>O=C(-[O&H1])-C,2
